acquisition_id,instrument_id,family,product,variable,role,sensor_time_utc,timestamp_original,timestamp_original_units,offset_seconds,interval_distance_seconds,observation_duration_seconds,interval_start_utc,interval_end_utc,units,value,tensor_pointer,original_sample_index,position_id,sensor_vertical_context,status,within_tolerance,representative_eligible,qc_flag,valid_fraction,interpretation,duplicate_status,spectral_status,spectral_valid_bin_fraction
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveHs,nearest_context,2021-10-16T23:00:00.000003+00:00,1634425200.0000033,seconds since 1970-01-01 00:00:00,-396.44199657440186,,1800,,,m,0.6408051,waves__waverider-17m__4e2d54ee6b11/variables/waveHs/757,757,position_aa5cd9206494793cc6579775,{},qc_unknown,True,False,,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTp,nearest_context,2021-10-16T23:00:00.000003+00:00,1634425200.0000033,seconds since 1970-01-01 00:00:00,-396.44199657440186,,1800,,,s,9.756098,waves__waverider-17m__4e2d54ee6b11/variables/waveTp/757,757,position_aa5cd9206494793cc6579775,{},qc_unknown,True,False,,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm,nearest_context,2021-10-16T23:00:00.000003+00:00,1634425200.0000033,seconds since 1970-01-01 00:00:00,-396.44199657440186,,1800,,,s,6.343925,waves__waverider-17m__4e2d54ee6b11/variables/waveTm/757,757,position_aa5cd9206494793cc6579775,{},qc_unknown,True,False,,1.0,Period for the mean of the energy density spectrum,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,wavePeakDirectionPeakFrequency,nearest_context,2021-10-16T23:00:00.000003+00:00,1634425200.0000033,seconds since 1970-01-01 00:00:00,-396.44199657440186,,1800,,,degree,105.0,waves__waverider-17m__4e2d54ee6b11/variables/wavePeakDirectionPeakFrequency/757,757,position_aa5cd9206494793cc6579775,{},qc_unknown,True,False,,1.0,Wave direction is from true north (MET convention),unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveMeanDirection,nearest_context,2021-10-16T23:00:00.000003+00:00,1634425200.0000033,seconds since 1970-01-01 00:00:00,-396.44199657440186,,1800,,,degree,115.75299,waves__waverider-17m__4e2d54ee6b11/variables/waveMeanDirection/757,757,position_aa5cd9206494793cc6579775,{},qc_unknown,True,False,,1.0,"Wave direction is from true north (MET convention), energy weighted over and computed from a1 & b1",unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,directionalPeakSpread,nearest_context,2021-10-16T23:00:00.000003+00:00,1634425200.0000033,seconds since 1970-01-01 00:00:00,-396.44199657440186,,1800,,,deg,30.41737,waves__waverider-17m__4e2d54ee6b11/variables/directionalPeakSpread/757,757,position_aa5cd9206494793cc6579775,{},qc_unknown,True,False,,1.0,Directional spread at peak frequency with cos(2*theta) circular moments,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveHs,nearest_context,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,m,0.52016294,waves__awac-11m__ac63f1b339a0/variables/waveHs/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveHs,previous_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,m,0.52016294,waves__awac-11m__ac63f1b339a0/variables/waveHs/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveHs,next_qc,2021-10-17T00:00:01.999999+00:00,1634428801.9999993,seconds since 1970-01-01 00:00:00,3205.5579993724823,,,,,m,0.50629914,waves__awac-11m__ac63f1b339a0/variables/waveHs/5,380,position_3e627235fb10c3f3eea4b4ae,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveHs,nearest_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,m,0.52016294,waves__awac-11m__ac63f1b339a0/variables/waveHs/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTp,nearest_context,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,s,10.869565,waves__awac-11m__ac63f1b339a0/variables/waveTp/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTp,previous_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,s,10.869565,waves__awac-11m__ac63f1b339a0/variables/waveTp/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTp,next_qc,2021-10-17T00:00:01.999999+00:00,1634428801.9999993,seconds since 1970-01-01 00:00:00,3205.5579993724823,,,,,s,9.950249,waves__awac-11m__ac63f1b339a0/variables/waveTp/5,380,position_3e627235fb10c3f3eea4b4ae,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTp,nearest_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,s,10.869565,waves__awac-11m__ac63f1b339a0/variables/waveTp/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTm,nearest_context,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,s,7.6714096,waves__awac-11m__ac63f1b339a0/variables/waveTm/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period for the mean of the energy density spectrum,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTm,previous_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,s,7.6714096,waves__awac-11m__ac63f1b339a0/variables/waveTm/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period for the mean of the energy density spectrum,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTm,next_qc,2021-10-17T00:00:01.999999+00:00,1634428801.9999993,seconds since 1970-01-01 00:00:00,3205.5579993724823,,,,,s,7.044808,waves__awac-11m__ac63f1b339a0/variables/waveTm/5,380,position_3e627235fb10c3f3eea4b4ae,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period for the mean of the energy density spectrum,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTm,nearest_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,s,7.6714096,waves__awac-11m__ac63f1b339a0/variables/waveTm/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period for the mean of the energy density spectrum,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTm1,nearest_context,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,s,6.5802164,waves__awac-11m__ac63f1b339a0/variables/waveTm1/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period for the 1st moment mean of the energy density spectrum,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTm1,previous_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,s,6.5802164,waves__awac-11m__ac63f1b339a0/variables/waveTm1/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period for the 1st moment mean of the energy density spectrum,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTm1,next_qc,2021-10-17T00:00:01.999999+00:00,1634428801.9999993,seconds since 1970-01-01 00:00:00,3205.5579993724823,,,,,s,5.935799,waves__awac-11m__ac63f1b339a0/variables/waveTm1/5,380,position_3e627235fb10c3f3eea4b4ae,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period for the 1st moment mean of the energy density spectrum,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTm1,nearest_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,s,6.5802164,waves__awac-11m__ac63f1b339a0/variables/waveTm1/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period for the 1st moment mean of the energy density spectrum,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTm2,nearest_context,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,s,6.0814424,waves__awac-11m__ac63f1b339a0/variables/waveTm2/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period for the 2nd moment mean of the energy density spectrum,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTm2,previous_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,s,6.0814424,waves__awac-11m__ac63f1b339a0/variables/waveTm2/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period for the 2nd moment mean of the energy density spectrum,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTm2,next_qc,2021-10-17T00:00:01.999999+00:00,1634428801.9999993,seconds since 1970-01-01 00:00:00,3205.5579993724823,,,,,s,5.4830346,waves__awac-11m__ac63f1b339a0/variables/waveTm2/5,380,position_3e627235fb10c3f3eea4b4ae,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period for the 2nd moment mean of the energy density spectrum,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTm2,nearest_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,s,6.0814424,waves__awac-11m__ac63f1b339a0/variables/waveTm2/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Period for the 2nd moment mean of the energy density spectrum,unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,wavePeakDirectionPeakFrequency,nearest_context,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,degree,85.0,waves__awac-11m__ac63f1b339a0/variables/wavePeakDirectionPeakFrequency/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Wave direction is from true north (MET convention),unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,wavePeakDirectionPeakFrequency,previous_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,degree,85.0,waves__awac-11m__ac63f1b339a0/variables/wavePeakDirectionPeakFrequency/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Wave direction is from true north (MET convention),unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,wavePeakDirectionPeakFrequency,next_qc,2021-10-17T00:00:01.999999+00:00,1634428801.9999993,seconds since 1970-01-01 00:00:00,3205.5579993724823,,,,,degree,90.0,waves__awac-11m__ac63f1b339a0/variables/wavePeakDirectionPeakFrequency/5,380,position_3e627235fb10c3f3eea4b4ae,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Wave direction is from true north (MET convention),unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,wavePeakDirectionPeakFrequency,nearest_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,degree,85.0,waves__awac-11m__ac63f1b339a0/variables/wavePeakDirectionPeakFrequency/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,Wave direction is from true north (MET convention),unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveMeanDirection,nearest_context,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,degree,96.17087,waves__awac-11m__ac63f1b339a0/variables/waveMeanDirection/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,"Wave direction is from true north (MET convention), energy weighted over and computed from a1 & b1",unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveMeanDirection,previous_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,degree,96.17087,waves__awac-11m__ac63f1b339a0/variables/waveMeanDirection/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,"Wave direction is from true north (MET convention), energy weighted over and computed from a1 & b1",unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveMeanDirection,next_qc,2021-10-17T00:00:01.999999+00:00,1634428801.9999993,seconds since 1970-01-01 00:00:00,3205.5579993724823,,,,,degree,77.91334,waves__awac-11m__ac63f1b339a0/variables/waveMeanDirection/5,380,position_3e627235fb10c3f3eea4b4ae,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,"Wave direction is from true north (MET convention), energy weighted over and computed from a1 & b1",unique,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveMeanDirection,nearest_qc,2021-10-16T23:00:00.500001+00:00,1634425200.5000007,seconds since 1970-01-01 00:00:00,-395.9419991970062,,,,,degree,96.17087,waves__awac-11m__ac63f1b339a0/variables/waveMeanDirection/4,379,position_b7d6c961c675ea1e5ebe4491,"{""nominalDepth"": {""value"": 11.3, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}}",retrieved,True,True,1.0,1.0,"Wave direction is from true north (MET convention), energy weighted over and computed from a1 & b1",unique,,
