transect,distance_m,E,N,lon,lat,status,wavelength_smoothed_m,swath,burst,sample,line,n_samples,n_lines,ground_spacing_sample_m,ground_spacing_line_m,fp_E0,fp_N0,fp_E1,fp_N1,fp_E2,fp_N2,fp_E3,fp_N3,bright_fraction,affine_residual_max_m,spectrum_method,incidence_deg,n_spectra_averaged,peak_status,n_blobs,argmax_wavelength_m,argmax_axial_bearing_deg,wavelength_m,k_rad_m,axial_bearing_deg,blob_area_px,lobe_to_annulus,identifiable
0,250.0,431697.2259085056,4007686.3574890075,-75.75987346227832,36.211603357229215,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,300.0,431744.1660795999,4007703.5801583026,-75.75935279086559,36.211761931158854,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,350.0,431791.1062506941,4007720.8028275976,-75.75883211731636,36.21192050284381,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,400.0,431838.0464217883,4007738.0254968926,-75.75831144163068,36.21207907228401,ok,91.23313737731917,IW,0,22153.605266475515,1640.3620834555052,52,51,9.86198633642121,10.132266542253614,431629.8412578553,4007444.5717450874,432126.5208196538,4007523.914623667,432048.4064862542,4008003.9394140043,431551.7287040452,4007924.6041689864,0.0,0.07300695439244677,affine_dtft,44.128662710897885,5,identified,1,87.88899108310079,69.86681935614651,83.54738583865658,0.0752050497344516,67.61986494804033,3,9.19020564784047,True
0,450.0,431884.9865928825,4007755.2481661877,-75.7577907638086,36.21223763947943,ok,94.48496687922487,IW,0,22158.584015799104,1641.309760223117,52,51,9.860407082009862,10.13231389015193,431676.9464758957,4007462.34978154,432173.544065105,4007541.692258673,432095.42814767966,4008021.7192639713,431598.8323324339,4007942.3844179455,0.0,0.07220522194451191,affine_dtft,44.131284278461784,5,identified,1,92.32814797543517,69.42537892798312,95.07601314665045,0.06608591482993778,68.19859051364803,1,8.517673421414257,True
0,500.0,431931.92676397675,4007772.4708354827,-75.75727008385012,36.21239620443004,ok,96.3822629653164,IW,0,22163.563560716837,1642.2573128980364,52,51,9.858846839082718,10.132361172129183,431724.04317251884,4007480.127818023,432220.55978887866,4007559.4699117383,432142.44229004876,4008039.4991294364,431645.9274418816,4007960.1646643505,0.0,0.07140360345331427,affine_dtft,44.13390626362472,5,identified,1,97.50630880778279,69.3027902934101,95.07601314665045,0.06608591482993778,68.19859051364803,1,7.995070092281233,True
0,550.0,431978.86693507095,4007789.6935047777,-75.75674940175529,36.21255476713577,ok,98.68798842691515,IW,0,22168.543891878853,1643.2047427673137,52,51,9.857305615319747,10.132408387621117,431771.13144577725,4007497.9058562415,432267.5680890389,4007577.2475845944,432189.44901144214,4008057.279012128,431693.01413046196,4007977.944909903,0.0,0.07060211283170197,affine_dtft,44.13652866145718,5,identified,1,102.42743144033123,69.1220165545513,104.24045538494197,0.060275881220749374,75.25643716352906,4,7.443554158205357,True
0,600.0,432025.80710616516,4007806.9161740723,-75.75622871752415,36.212713327596624,ok,99.59098224698134,IW,0,22173.52499991976,1644.1520511212289,52,51,9.855783422892694,10.132455540053394,431818.2113937374,4007515.683897897,432314.5690636592,4007595.025278974,432236.44840994396,4008075.058913779,431740.092496258,4007995.72515632,0.0,0.06980075699145068,affine_dtft,44.13915146702145,5,identified,2,102.04269700139076,68.25818023334855,103.97144730968249,0.06043183460229139,66.03751102542165,2,8.469650145817216,True
0,650.0,432072.74727725936,4007824.1388433673,-75.75570803115673,36.21287188581252,ok,115.09058638930406,IW,0,22178.506875459363,1645.0992392503422,52,51,9.854280271311355,10.13250262498555,431865.28311448084,4007533.461944698,432361.5628108109,4007612.8029965996,432283.44058364537,4008092.8388361232,431787.16263735376,4008013.505405304,0.0,0.0689995290974025,affine_dtft,44.141774675372005,5,identified,1,97.92195152254894,67.38276272527747,95.07601314665045,0.06608591482993778,68.19859051364803,1,8.803561236833948,True
0,700.0,432119.6874483536,4007841.3615126624,-75.75518734265304,36.21303044178345,ok,,IW,0,22183.489509103158,1646.0463084482265,52,51,9.85279617893469,10.132549649961069,431902.60926729685,4007549.6842797087,432398.8272971753,4007629.0250495602,432320.7035329154,4008109.063240387,431824.487247746,4008029.7300895494,0.0,0.06835690602124594,affine_dtft,44.1443982815558,5,ambiguous_multiple_blobs,3,92.43457405619607,66.82802744648598,255.99999999999972,0.024543692606170286,89.99999999999922,1,5.082426716599059,False
0,750.0,432166.6276194478,4007858.5841819574,-75.75466665201314,36.21318899550936,ok,110.56050272248301,IW,0,22188.472891441033,1646.9932600097814,52,51,9.851331153329978,10.13259660543205,431951.29327151796,4007557.4628638863,432447.4351643255,4007636.8034959747,432369.31123190426,4008116.8409411716,431873.17107873387,4008037.5079256883,0.0,0.06756469182043708,affine_dtft,44.14702228061156,5,identified,2,138.81994073364024,94.92862507099862,157.07442971594136,0.04000132496767493,94.398705354995,4,6.186411984217549,True
0,800.0,432213.56779054203,4007875.8068512524,-75.75414595923708,36.2133475469902,ok,,IW,0,22193.45701304928,1647.9400952311482,52,51,9.849885206680469,10.132643498730397,431998.34250476025,4007575.2408964816,432494.409223213,4007654.5812501707,432416.283723278,4008134.6208951785,431920.21873788413,4008055.2881555147,0.0,0.06676390181814557,affine_dtft,44.14964666757082,5,ambiguous_multiple_blobs,2,136.43788340691705,94.69688786475437,146.28571428571402,0.04295146206079803,89.99999999999956,2,5.636445526891229,False
